date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:33	26851/26851	---M--	200	added ('OK')	image/png	etag:%220dfb69239ffce1:0%22	http://boltcloud.co.in/a12rf3078p/Images/banner_right.png	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Images/banner_right.png	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:33	8786/8786	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:11%20GMT	http://boltcloud.co.in/a12rf3078p/FeeDeposit.aspx	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/FeeDeposit.html	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:34	44142/44142	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:11%20GMT	http://boltcloud.co.in/a12rf3078p/GenericReport.aspx	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/GenericReport.html	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:34	10879/10879	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:11%20GMT	http://boltcloud.co.in/a12rf3078p/ReportFilters.aspx?Mode=StudentReport&Name=Student%20Report	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/ReportFilters366f.html	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:35	9410/9410	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:13%20GMT	http://boltcloud.co.in/a12rf3078p/ReportFilters.aspx?Mode=Period&Name=Fee%20Collection%20Report	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/ReportFilters3810.html	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:35	15048/15048	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:13%20GMT	http://boltcloud.co.in/a12rf3078p/ReportFilters.aspx?Mode=StudentLedger&Name=Student%20Ledger	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/ReportFilters28ed.html	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:36	9050/9050	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:14%20GMT	http://boltcloud.co.in/a12rf3078p/ReportFilters.aspx?Mode=DeletedFeeReceipt&Name=Deleted%20Fee%20Receipt%20Report	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/ReportFiltersc110.html	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:36	8020/8020	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:14%20GMT	http://boltcloud.co.in/a12rf3078p/Default.aspx?Logout=1	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Default5fff.html	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:37	95881/95881	---M--	200	added ('OK')	image/png	etag:%220dfb69239ffce1:0%22	http://boltcloud.co.in/a12rf3078p/Images/banner_left.png	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Images/banner_left.png	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:37	10709/10709	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:14%20GMT	http://boltcloud.co.in/a12rf3078p/ChangePassword.aspx	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/ChangePassword.html	(from http://boltcloud.co.in/a12rf3078p/Home.aspx)
22:27:38	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202019%2016:57:15%20GMT	http://boltcloud.co.in/a12rf3078p/Common/images/content_bg.jpg	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Common/images/content_bg.19.delayed	(from http://boltcloud.co.in/a12rf3078p/Common/StyleSheet.css)
22:27:38	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202019%2016:57:16%20GMT	http://boltcloud.co.in/a12rf3078p/POST	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/POST.1a.delayed	(from http://boltcloud.co.in/a12rf3078p/WebResource.axd?d=WbnVD8JKPRSS686mhohvo7-ISRnaeI7O4E7AbP0eTm5p-W7kls-2C3qWDvXDykLW13k1Px7A4gYpGHpR9BhsfLuf6Dw1&t=635588822026805809)
22:27:39	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202019%2016:57:16%20GMT	http://boltcloud.co.in/a12rf3078p/Firefox/	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Firefox/index.html	(from http://boltcloud.co.in/a12rf3078p/ScriptResource.axd?d=G0rqutFj6qK8Vt1e44_jriA77UtW82KQERbqFhWF6f9ucHyvfePlpvOYP9OlHHs6MV_UTtEbxFO-GEkNj0GQXuYJ_2_Q33pggINvAWfNGOUpt73Ld4eINQa7ntd3IGuL9427hKER7nuibjNF5mzCAH0DjxfqEeBY_v6D13nIAvLS3NS_0&t=2e2045e2)
22:27:39	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202019%2016:57:16%20GMT	http://boltcloud.co.in/a12rf3078p/AppleWebKit/	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/AppleWebKit/index.html	(from http://boltcloud.co.in/a12rf3078p/ScriptResource.axd?d=G0rqutFj6qK8Vt1e44_jriA77UtW82KQERbqFhWF6f9ucHyvfePlpvOYP9OlHHs6MV_UTtEbxFO-GEkNj0GQXuYJ_2_Q33pggINvAWfNGOUpt73Ld4eINQa7ntd3IGuL9427hKER7nuibjNF5mzCAH0DjxfqEeBY_v6D13nIAvLS3NS_0&t=2e2045e2)
22:27:39	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202019%2016:57:16%20GMT	http://boltcloud.co.in/a12rf3078p/Opera/	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Opera/index.html	(from http://boltcloud.co.in/a12rf3078p/ScriptResource.axd?d=G0rqutFj6qK8Vt1e44_jriA77UtW82KQERbqFhWF6f9ucHyvfePlpvOYP9OlHHs6MV_UTtEbxFO-GEkNj0GQXuYJ_2_Q33pggINvAWfNGOUpt73Ld4eINQa7ntd3IGuL9427hKER7nuibjNF5mzCAH0DjxfqEeBY_v6D13nIAvLS3NS_0&t=2e2045e2)
22:27:40	21618/21618	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2006%20Nov%202019%2016:57:17%20GMT	http://boltcloud.co.in/a12rf3078p/ScriptResource.axd?d=XS6tNBjTMG6ZRvI7P3GC14ovx_AIIkwb_sMYtFye1-RL7XON4gg0GOtqCxyM7DGoh7-Onvm8HBXy2ExfRNtVKhcAZu4Gd7CerHQJeZgbutxjMbsoE3aCXbqR6jKIgoHluwtdMFqZFI2M4qLZfSwst5RJe0k1&t=5f861349	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/ScriptResource13c0.js	(from http://boltcloud.co.in/a12rf3078p/UserManagement.aspx)
22:27:40	1005/1005	---M--	200	added ('OK')	image/gif	etag:%220a0ea801197cc1:0%22	http://boltcloud.co.in/a12rf3078p/Images/icon-view.gif	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Images/icon-view.gif	(from http://boltcloud.co.in/a12rf3078p/SectionMaster.aspx)
